value,count,m2,percentage
-3.09956932,2,13233.37216,0.003399626
-3.09296274,1,6616.686078,0.001699813
-3.09295011,1,6616.686078,0.001699813
-3.05431962,2,13233.37216,0.003399626
-3.04423285,1,6616.686078,0.001699813
-3.0427742,1,6616.686078,0.001699813
-3.04023337,1,6616.686078,0.001699813
-3.03808856,2,13233.37216,0.003399626
-3.03586507,1,6616.686078,0.001699813
-3.03536034,1,6616.686078,0.001699813
-2.13787389,1,6616.686078,0.001699813
-2.11768937,2,13233.37216,0.003399626
-2.1135993,2,13233.37216,0.003399626
-2.11178565,2,13233.37216,0.003399626
-2.08826113,1,6616.686078,0.001699813
-1.12186754,2,13233.37216,0.003399626
-1.11544621,2,13233.37216,0.003399626
-1.11263525,1,6616.686078,0.001699813
-1.11153555,2,13233.37216,0.003399626
-1.10652363,1,6616.686078,0.001699813
-1.10225952,1,6616.686078,0.001699813
-1.068609,1,6616.686078,0.001699813
-1.06840932,1,6616.686078,0.001699813
-1.06572604,1,6616.686078,0.001699813
-1.06484365,2,13233.37216,0.003399626
-1.06448746,2,13233.37216,0.003399626
-1.06402504,1,6616.686078,0.001699813
-1.06399143,2,13233.37216,0.003399626
-1.06321311,2,13233.37216,0.003399626
-1.06290507,2,13233.37216,0.003399626
-1.06263459,2,13233.37216,0.003399626
-1.0625515,1,6616.686078,0.001699813
-1.0624361,1,6616.686078,0.001699813
-1.06178343,1,6616.686078,0.001699813
-1.06172061,1,6616.686078,0.001699813
-1.06152177,1,6616.686078,0.001699813
-1.06123042,1,6616.686078,0.001699813
-1.06122565,1,6616.686078,0.001699813
-1.06116593,1,6616.686078,0.001699813
-1.06112003,2,13233.37216,0.003399626
-1.06110966,1,6616.686078,0.001699813
-1.06098747,2,13233.37216,0.003399626
-1.06098187,1,6616.686078,0.001699813
-1.06090331,2,13233.37216,0.003399626
-1.06080461,1,6616.686078,0.001699813
-1.06074667,2,13233.37216,0.003399626
-1.06072438,2,13233.37216,0.003399626
-1.06066489,1,6616.686078,0.001699813
-1.06045103,1,6616.686078,0.001699813
-1.06029367,2,13233.37216,0.003399626
-1.05991375,1,6616.686078,0.001699813
-1.0598799,1,6616.686078,0.001699813
-1.05934,2,13233.37216,0.003399626
-1.05922949,2,13233.37216,0.003399626
-1.05903256,1,6616.686078,0.001699813
-1.05883968,2,13233.37216,0.003399626
-1.0582217,1,6616.686078,0.001699813
-1.057935,2,13233.37216,0.003399626
-1.05783534,1,6616.686078,0.001699813
-1.05765784,2,13233.37216,0.003399626
-1.0576297,2,13233.37216,0.003399626
-1.05759919,1,6616.686078,0.001699813
-1.05739391,1,6616.686078,0.001699813
-1.0569911,1,6616.686078,0.001699813
-1.05697465,2,13233.37216,0.003399626
-1.05686486,1,6616.686078,0.001699813
-1.05655539,1,6616.686078,0.001699813
-1.05578041,1,6616.686078,0.001699813
-1.05553639,1,6616.686078,0.001699813
-1.0555352,2,13233.37216,0.003399626
-1.0553745,1,6616.686078,0.001699813
-1.05502725,1,6616.686078,0.001699813
-1.0549612,1,6616.686078,0.001699813
-1.05451,1,6616.686078,0.001699813
-1.05393386,1,6616.686078,0.001699813
-1.05382216,1,6616.686078,0.001699813
-1.05349588,1,6616.686078,0.001699813
-1.05334723,1,6616.686078,0.001699813
-1.05326104,1,6616.686078,0.001699813
-1.05309451,1,6616.686078,0.001699813
-1.05303526,1,6616.686078,0.001699813
-1.05258596,1,6616.686078,0.001699813
-1.05240929,1,6616.686078,0.001699813
-1.05221486,1,6616.686078,0.001699813
-1.05203378,1,6616.686078,0.001699813
-1.0519433,1,6616.686078,0.001699813
-1.05191708,2,13233.37216,0.003399626
-1.05190039,1,6616.686078,0.001699813
-1.05182064,1,6616.686078,0.001699813
-1.05166173,1,6616.686078,0.001699813
-1.05162406,1,6616.686078,0.001699813
-1.05155146,2,13233.37216,0.003399626
-1.05150592,1,6616.686078,0.001699813
-1.05146289,1,6616.686078,0.001699813
-1.05146241,1,6616.686078,0.001699813
-1.05135405,1,6616.686078,0.001699813
-1.05133617,2,13233.37216,0.003399626
-1.05121994,1,6616.686078,0.001699813
-1.05115139,1,6616.686078,0.001699813
-1.05113518,1,6616.686078,0.001699813
-1.05108345,1,6616.686078,0.001699813
-1.05104852,2,13233.37216,0.003399626
-1.05097854,2,13233.37216,0.003399626
-1.05096292,1,6616.686078,0.001699813
-1.05089951,1,6616.686078,0.001699813
-1.05083776,2,13233.37216,0.003399626
-1.05078387,2,13233.37216,0.003399626
-1.05057716,2,13233.37216,0.003399626
-1.05050778,1,6616.686078,0.001699813
-1.05049336,2,13233.37216,0.003399626
-1.0504719,1,6616.686078,0.001699813
-1.05031276,2,13233.37216,0.003399626
-1.05012143,1,6616.686078,0.001699813
-1.05002356,2,13233.37216,0.003399626
-1.0499779,1,6616.686078,0.001699813
-1.04987764,1,6616.686078,0.001699813
-1.04984796,2,13233.37216,0.003399626
-1.0497086,1,6616.686078,0.001699813
-1.04962683,1,6616.686078,0.001699813
-1.04951274,1,6616.686078,0.001699813
-1.04944766,1,6616.686078,0.001699813
-1.04934466,1,6616.686078,0.001699813
-1.04929173,1,6616.686078,0.001699813
-1.04923654,2,13233.37216,0.003399626
-1.04919326,1,6616.686078,0.001699813
-1.0491792,1,6616.686078,0.001699813
-1.04916382,2,13233.37216,0.003399626
-1.04916286,1,6616.686078,0.001699813
-1.04915535,1,6616.686078,0.001699813
-1.0491457,1,6616.686078,0.001699813
-1.04913139,1,6616.686078,0.001699813
-1.04912364,1,6616.686078,0.001699813
-1.04912126,2,13233.37216,0.003399626
-1.0491066,2,13233.37216,0.003399626
-1.04908013,2,13233.37216,0.003399626
-1.04897761,2,13233.37216,0.003399626
-1.04889703,2,13233.37216,0.003399626
-1.04881179,1,6616.686078,0.001699813
-1.04873717,1,6616.686078,0.001699813
-1.04871714,1,6616.686078,0.001699813
-1.04845178,1,6616.686078,0.001699813
-1.04842246,1,6616.686078,0.001699813
-1.04837489,2,13233.37216,0.003399626
-1.04828525,1,6616.686078,0.001699813
-1.04811788,2,13233.37216,0.003399626
-1.04806232,2,13233.37216,0.003399626
-1.04800475,2,13233.37216,0.003399626
-1.04797506,2,13233.37216,0.003399626
-1.04793298,1,6616.686078,0.001699813
-1.0478127,2,13233.37216,0.003399626
-1.04778743,2,13233.37216,0.003399626
-1.04776251,1,6616.686078,0.001699813
-1.04773867,1,6616.686078,0.001699813
-1.04772973,2,13233.37216,0.003399626
-1.04761565,1,6616.686078,0.001699813
-1.04746163,1,6616.686078,0.001699813
-1.04745913,1,6616.686078,0.001699813
-1.04744065,1,6616.686078,0.001699813
-1.04742241,2,13233.37216,0.003399626
-1.04733253,2,13233.37216,0.003399626
-1.04725742,1,6616.686078,0.001699813
-1.04718471,1,6616.686078,0.001699813
-1.0471487,1,6616.686078,0.001699813
-1.04707181,1,6616.686078,0.001699813
-1.04699171,1,6616.686078,0.001699813
-1.04696453,1,6616.686078,0.001699813
-1.04695845,1,6616.686078,0.001699813
-1.0469358,1,6616.686078,0.001699813
-1.04688358,1,6616.686078,0.001699813
-1.04678249,1,6616.686078,0.001699813
-1.04666615,1,6616.686078,0.001699813
-1.04659081,1,6616.686078,0.001699813
-1.04649305,1,6616.686078,0.001699813
-1.04646575,2,13233.37216,0.003399626
-1.04640484,2,13233.37216,0.003399626
-1.04631209,1,6616.686078,0.001699813
-1.04627705,2,13233.37216,0.003399626
-1.04620886,1,6616.686078,0.001699813
-1.04617357,1,6616.686078,0.001699813
-1.04612899,2,13233.37216,0.003399626
-1.04607785,2,13233.37216,0.003399626
-1.04598153,1,6616.686078,0.001699813
-1.0458715,2,13233.37216,0.003399626
-1.04577947,2,13233.37216,0.003399626
-1.04571068,1,6616.686078,0.001699813
-1.04562771,1,6616.686078,0.001699813
-1.04555202,2,13233.37216,0.003399626
-1.04552007,2,13233.37216,0.003399626
-1.04519486,1,6616.686078,0.001699813
-1.04512262,1,6616.686078,0.001699813
-1.04509246,2,13233.37216,0.003399626
-1.04502165,2,13233.37216,0.003399626
-1.04496491,1,6616.686078,0.001699813
-1.04491973,1,6616.686078,0.001699813
-1.04483283,1,6616.686078,0.001699813
-1.04480124,2,13233.37216,0.003399626
-1.04467463,1,6616.686078,0.001699813
-1.04462838,1,6616.686078,0.001699813
-1.04450536,1,6616.686078,0.001699813
-1.04450476,1,6616.686078,0.001699813
-1.04428148,2,13233.37216,0.003399626
-1.04423177,2,13233.37216,0.003399626
-1.04410696,2,13233.37216,0.003399626
-1.04381657,1,6616.686078,0.001699813
-1.04374087,2,13233.37216,0.003399626
-1.04372704,2,13233.37216,0.003399626
-1.04366612,2,13233.37216,0.003399626
-1.0435878,1,6616.686078,0.001699813
-1.04342818,2,13233.37216,0.003399626
-1.04338539,2,13233.37216,0.003399626
-1.04317605,1,6616.686078,0.001699813
-1.04289639,1,6616.686078,0.001699813
-1.04257834,1,6616.686078,0.001699813
-1.04257309,2,13233.37216,0.003399626
-1.0425365,1,6616.686078,0.001699813
-1.04241633,1,6616.686078,0.001699813
-1.04237604,1,6616.686078,0.001699813
-1.042261,2,13233.37216,0.003399626
-1.04214561,2,13233.37216,0.003399626
-1.04210031,2,13233.37216,0.003399626
-1.04196894,1,6616.686078,0.001699813
-1.04196131,1,6616.686078,0.001699813
-1.04171157,1,6616.686078,0.001699813
-1.0415138,1,6616.686078,0.001699813
-1.04129696,1,6616.686078,0.001699813
-1.04126275,2,13233.37216,0.003399626
-1.04123855,2,13233.37216,0.003399626
-1.04117692,1,6616.686078,0.001699813
-1.04109943,1,6616.686078,0.001699813
-1.04077351,2,13233.37216,0.003399626
-1.04073048,2,13233.37216,0.003399626
-1.04072547,1,6616.686078,0.001699813
-1.04072416,2,13233.37216,0.003399626
-1.04064274,1,6616.686078,0.001699813
-1.04062486,2,13233.37216,0.003399626
-1.04053628,1,6616.686078,0.001699813
-1.04045534,2,13233.37216,0.003399626
-1.04044366,2,13233.37216,0.003399626
-1.04036903,2,13233.37216,0.003399626
-1.04026806,1,6616.686078,0.001699813
-1.03985417,1,6616.686078,0.001699813
-1.03985393,1,6616.686078,0.001699813
-1.03982425,2,13233.37216,0.003399626
-1.03978825,2,13233.37216,0.003399626
-1.0397594,1,6616.686078,0.001699813
-1.03958476,1,6616.686078,0.001699813
-1.03957546,1,6616.686078,0.001699813
-1.03937757,1,6616.686078,0.001699813
-1.03905284,1,6616.686078,0.001699813
-1.03900445,2,13233.37216,0.003399626
-1.03893042,1,6616.686078,0.001699813
-1.03890479,1,6616.686078,0.001699813
-1.03890133,1,6616.686078,0.001699813
-1.0385915,2,13233.37216,0.003399626
-1.03853488,1,6616.686078,0.001699813
-1.03842366,1,6616.686078,0.001699813
-1.03842139,1,6616.686078,0.001699813
-1.03840792,1,6616.686078,0.001699813
-1.03824019,2,13233.37216,0.003399626
-1.03821993,1,6616.686078,0.001699813
-1.03805673,1,6616.686078,0.001699813
-1.03801429,1,6616.686078,0.001699813
-1.03800106,1,6616.686078,0.001699813
-1.03794074,1,6616.686078,0.001699813
-1.03789937,1,6616.686078,0.001699813
-1.03781581,2,13233.37216,0.003399626
-1.03747618,1,6616.686078,0.001699813
-1.03722298,2,13233.37216,0.003399626
-1.03711903,2,13233.37216,0.003399626
-1.03678048,1,6616.686078,0.001699813
-1.0367732,2,13233.37216,0.003399626
-1.03667796,1,6616.686078,0.001699813
-1.03655005,1,6616.686078,0.001699813
-1.03651083,1,6616.686078,0.001699813
-1.03650939,1,6616.686078,0.001699813
-1.03642261,1,6616.686078,0.001699813
-1.03624916,2,13233.37216,0.003399626
-1.03599524,1,6616.686078,0.001699813
-1.03581047,2,13233.37216,0.003399626
-1.03574133,1,6616.686078,0.001699813
-1.03571951,1,6616.686078,0.001699813
-1.03571022,1,6616.686078,0.001699813
-1.03567994,2,13233.37216,0.003399626
-1.03558457,1,6616.686078,0.001699813
