value,count,m2,percentage
-3.04111505,1,6616.686078,0.001699813
-3.03861904,1,6616.686078,0.001699813
-2.07994604,2,13233.37216,0.003399626
-2.07311273,1,6616.686078,0.001699813
-2.07196474,1,6616.686078,0.001699813
-2.06878304,1,6616.686078,0.001699813
-2.04202366,2,13233.37216,0.003399626
-2.03642702,2,13233.37216,0.003399626
-2.0344429,1,6616.686078,0.001699813
-1.10366583,2,13233.37216,0.003399626
-1.10290658,1,6616.686078,0.001699813
-1.10202801,2,13233.37216,0.003399626
-1.10183477,2,13233.37216,0.003399626
-1.08540845,2,13233.37216,0.003399626
-1.08489215,1,6616.686078,0.001699813
-1.0838201,2,13233.37216,0.003399626
-1.0830493,2,13233.37216,0.003399626
-1.08137023,1,6616.686078,0.001699813
-1.07931471,1,6616.686078,0.001699813
-0.06299847,1,6616.686078,0.001699813
-0.0620885,1,6616.686078,0.001699813
-0.06002109,1,6616.686078,0.001699813
-0.05789201,1,6616.686078,0.001699813
-0.05725831,1,6616.686078,0.001699813
-0.05657724,1,6616.686078,0.001699813
-0.05520958,1,6616.686078,0.001699813
-0.05504997,2,13233.37216,0.003399626
-0.05476694,2,13233.37216,0.003399626
-0.05437692,2,13233.37216,0.003399626
-0.0542386,2,13233.37216,0.003399626
-0.05402568,2,13233.37216,0.003399626
-0.05374908,2,13233.37216,0.003399626
-0.0530969,1,6616.686078,0.001699813
-0.05296531,2,13233.37216,0.003399626
-0.05279947,1,6616.686078,0.001699813
-0.05273632,2,13233.37216,0.003399626
-0.05273381,2,13233.37216,0.003399626
-0.0527031,1,6616.686078,0.001699813
-0.05251725,1,6616.686078,0.001699813
-0.05231984,2,13233.37216,0.003399626
-0.05225071,2,13233.37216,0.003399626
-0.05217825,1,6616.686078,0.001699813
-0.05193781,1,6616.686078,0.001699813
-0.05168045,2,13233.37216,0.003399626
-0.05126195,2,13233.37216,0.003399626
-0.05101905,1,6616.686078,0.001699813
-0.05096592,1,6616.686078,0.001699813
-0.05062645,2,13233.37216,0.003399626
-0.05048341,2,13233.37216,0.003399626
-0.05046264,2,13233.37216,0.003399626
-0.05043548,1,6616.686078,0.001699813
-0.05033814,1,6616.686078,0.001699813
-0.0503375,1,6616.686078,0.001699813
-0.05033238,1,6616.686078,0.001699813
-0.05018913,2,13233.37216,0.003399626
-0.05010004,1,6616.686078,0.001699813
-0.05005379,2,13233.37216,0.003399626
-0.05003275,1,6616.686078,0.001699813
-0.04998809,1,6616.686078,0.001699813
-0.04978219,1,6616.686078,0.001699813
-0.04976216,2,13233.37216,0.003399626
-0.04953811,1,6616.686078,0.001699813
-0.0495154,2,13233.37216,0.003399626
-0.04948812,1,6616.686078,0.001699813
-0.04932238,1,6616.686078,0.001699813
-0.04924514,1,6616.686078,0.001699813
-0.04923145,2,13233.37216,0.003399626
-0.04919719,1,6616.686078,0.001699813
-0.04912899,1,6616.686078,0.001699813
-0.04911354,1,6616.686078,0.001699813
-0.04911174,1,6616.686078,0.001699813
-0.04908774,1,6616.686078,0.001699813
-0.04906175,2,13233.37216,0.003399626
-0.04902638,1,6616.686078,0.001699813
-0.04896555,2,13233.37216,0.003399626
-0.04888161,1,6616.686078,0.001699813
-0.04878167,2,13233.37216,0.003399626
-0.04874134,1,6616.686078,0.001699813
-0.04873559,1,6616.686078,0.001699813
-0.04867615,1,6616.686078,0.001699813
-0.04867062,1,6616.686078,0.001699813
-0.04864096,2,13233.37216,0.003399626
-0.04845979,2,13233.37216,0.003399626
-0.04843127,1,6616.686078,0.001699813
-0.04828849,1,6616.686078,0.001699813
-0.04826073,2,13233.37216,0.003399626
-0.04822306,2,13233.37216,0.003399626
-0.04811981,1,6616.686078,0.001699813
-0.04807702,1,6616.686078,0.001699813
-0.04807344,1,6616.686078,0.001699813
-0.04799452,1,6616.686078,0.001699813
-0.0479511,2,13233.37216,0.003399626
-0.04792298,1,6616.686078,0.001699813
-0.04787163,2,13233.37216,0.003399626
-0.04771039,2,13233.37216,0.003399626
-0.04760183,2,13233.37216,0.003399626
-0.04750823,2,13233.37216,0.003399626
-0.04742451,2,13233.37216,0.003399626
-0.04735218,1,6616.686078,0.001699813
-0.04734222,1,6616.686078,0.001699813
-0.04728152,2,13233.37216,0.003399626
-0.04726253,1,6616.686078,0.001699813
-0.04718194,1,6616.686078,0.001699813
-0.04710125,1,6616.686078,0.001699813
-0.04699498,2,13233.37216,0.003399626
-0.04693463,2,13233.37216,0.003399626
-0.04690693,1,6616.686078,0.001699813
-0.04678659,2,13233.37216,0.003399626
-0.04664298,1,6616.686078,0.001699813
-0.04661908,2,13233.37216,0.003399626
-0.04657817,1,6616.686078,0.001699813
-0.04657472,1,6616.686078,0.001699813
-0.04642874,1,6616.686078,0.001699813
-0.0463685,1,6616.686078,0.001699813
-0.04630303,1,6616.686078,0.001699813
-0.04620956,1,6616.686078,0.001699813
-0.04618923,1,6616.686078,0.001699813
-0.04612982,2,13233.37216,0.003399626
-0.04612925,2,13233.37216,0.003399626
-0.04612212,1,6616.686078,0.001699813
-0.04609125,2,13233.37216,0.003399626
-0.04606151,1,6616.686078,0.001699813
-0.04592068,1,6616.686078,0.001699813
-0.04589403,2,13233.37216,0.003399626
-0.04578177,1,6616.686078,0.001699813
-0.04576126,1,6616.686078,0.001699813
-0.04561813,1,6616.686078,0.001699813
-0.04559496,2,13233.37216,0.003399626
-0.04559478,1,6616.686078,0.001699813
-0.04549917,2,13233.37216,0.003399626
-0.04541131,1,6616.686078,0.001699813
-0.04535028,1,6616.686078,0.001699813
-0.04526902,1,6616.686078,0.001699813
-0.04521701,1,6616.686078,0.001699813
-0.04510383,1,6616.686078,0.001699813
-0.04508176,1,6616.686078,0.001699813
-0.04504522,2,13233.37216,0.003399626
-0.04504149,2,13233.37216,0.003399626
-0.04504032,1,6616.686078,0.001699813
-0.04497506,1,6616.686078,0.001699813
-0.04495681,1,6616.686078,0.001699813
-0.04463002,2,13233.37216,0.003399626
-0.04461206,1,6616.686078,0.001699813
-0.0444108,2,13233.37216,0.003399626
-0.04433285,1,6616.686078,0.001699813
-0.04430317,2,13233.37216,0.003399626
-0.04429038,1,6616.686078,0.001699813
-0.04428884,2,13233.37216,0.003399626
-0.0441849,2,13233.37216,0.003399626
-0.04417602,2,13233.37216,0.003399626
-0.04412734,1,6616.686078,0.001699813
-0.04408233,1,6616.686078,0.001699813
-0.04397886,2,13233.37216,0.003399626
-0.04389187,1,6616.686078,0.001699813
