value,count,m2,percentage
-3.10284472,2,13233.37216,0.003399626
-3.09742141,1,6616.686078,0.001699813
-3.05936241,2,13233.37216,0.003399626
-3.05217361,1,6616.686078,0.001699813
-3.05120182,1,6616.686078,0.001699813
-3.04309154,1,6616.686078,0.001699813
-3.03979874,2,13233.37216,0.003399626
-3.03733802,1,6616.686078,0.001699813
-3.03714037,1,6616.686078,0.001699813
-2.14029002,1,6616.686078,0.001699813
-2.12056518,2,13233.37216,0.003399626
-2.1164732,2,13233.37216,0.003399626
-2.11441708,2,13233.37216,0.003399626
-2.09647942,1,6616.686078,0.001699813
-2.09198284,1,6616.686078,0.001699813
-1.11907399,2,13233.37216,0.003399626
-1.11288333,2,13233.37216,0.003399626
-1.10917151,1,6616.686078,0.001699813
-1.10917056,2,13233.37216,0.003399626
-1.10330915,1,6616.686078,0.001699813
-1.09952402,1,6616.686078,0.001699813
-1.06944609,1,6616.686078,0.001699813
-1.06918323,1,6616.686078,0.001699813
-1.0657866,1,6616.686078,0.001699813
-1.06493175,2,13233.37216,0.003399626
-1.06443119,2,13233.37216,0.003399626
-1.06411076,1,6616.686078,0.001699813
-1.06402445,2,13233.37216,0.003399626
-1.0631566,2,13233.37216,0.003399626
-1.06305659,2,13233.37216,0.003399626
-1.06265771,1,6616.686078,0.001699813
-1.06253684,1,6616.686078,0.001699813
-1.06242108,2,13233.37216,0.003399626
-1.06183457,1,6616.686078,0.001699813
-1.06175077,2,13233.37216,0.003399626
-1.06157053,2,13233.37216,0.003399626
-1.06156802,1,6616.686078,0.001699813
-1.06144917,1,6616.686078,0.001699813
-1.06137061,2,13233.37216,0.003399626
-1.06119525,1,6616.686078,0.001699813
-1.06111932,1,6616.686078,0.001699813
-1.06108165,2,13233.37216,0.003399626
-1.06106687,2,13233.37216,0.003399626
-1.06097806,1,6616.686078,0.001699813
-1.06091797,1,6616.686078,0.001699813
-1.06091499,1,6616.686078,0.001699813
-1.06080937,2,13233.37216,0.003399626
-1.06058812,1,6616.686078,0.001699813
-1.06053388,1,6616.686078,0.001699813
-1.06006551,1,6616.686078,0.001699813
-1.0599606,1,6616.686078,0.001699813
-1.05975401,1,6616.686078,0.001699813
-1.05949461,2,13233.37216,0.003399626
-1.05890357,2,13233.37216,0.003399626
-1.0588659,1,6616.686078,0.001699813
-1.0588026,2,13233.37216,0.003399626
-1.05873275,1,6616.686078,0.001699813
-1.05773616,1,6616.686078,0.001699813
-1.05770469,2,13233.37216,0.003399626
-1.05759418,1,6616.686078,0.001699813
-1.05745363,2,13233.37216,0.003399626
-1.05731988,2,13233.37216,0.003399626
-1.05714726,1,6616.686078,0.001699813
-1.05710316,1,6616.686078,0.001699813
-1.05678511,1,6616.686078,0.001699813
-1.05669069,2,13233.37216,0.003399626
-1.05662823,1,6616.686078,0.001699813
-1.05571997,2,13233.37216,0.003399626
-1.05560327,1,6616.686078,0.001699813
-1.05525684,1,6616.686078,0.001699813
-1.05515635,1,6616.686078,0.001699813
-1.05510914,1,6616.686078,0.001699813
-1.05477297,1,6616.686078,0.001699813
-1.05472267,1,6616.686078,0.001699813
-1.0545218,1,6616.686078,0.001699813
-1.05436265,1,6616.686078,0.001699813
-1.05435455,1,6616.686078,0.001699813
-1.05387485,1,6616.686078,0.001699813
-1.05311465,1,6616.686078,0.001699813
-1.05311358,1,6616.686078,0.001699813
-1.05292487,1,6616.686078,0.001699813
-1.0527674,1,6616.686078,0.001699813
-1.05235291,1,6616.686078,0.001699813
-1.05231988,1,6616.686078,0.001699813
-1.05226243,1,6616.686078,0.001699813
-1.05198407,1,6616.686078,0.001699813
-1.051916,1,6616.686078,0.001699813
-1.05164742,1,6616.686078,0.001699813
-1.05141306,2,13233.37216,0.003399626
-1.05139577,1,6616.686078,0.001699813
-1.05137336,1,6616.686078,0.001699813
-1.05134165,1,6616.686078,0.001699813
-1.05128384,1,6616.686078,0.001699813
-1.05119932,2,13233.37216,0.003399626
-1.05113232,1,6616.686078,0.001699813
-1.0511111,2,13233.37216,0.003399626
-1.05108869,1,6616.686078,0.001699813
-1.05107069,1,6616.686078,0.001699813
-1.05105186,1,6616.686078,0.001699813
-1.05099094,2,13233.37216,0.003399626
-1.05098891,1,6616.686078,0.001699813
-1.05097866,1,6616.686078,0.001699813
-1.0508064,2,13233.37216,0.003399626
-1.05072355,2,13233.37216,0.003399626
-1.05059862,1,6616.686078,0.001699813
-1.05041659,1,6616.686078,0.001699813
-1.05038667,2,13233.37216,0.003399626
-1.05035675,1,6616.686078,0.001699813
-1.05031741,1,6616.686078,0.001699813
-1.0500468,2,13233.37216,0.003399626
-1.0500257,1,6616.686078,0.001699813
-1.049999,2,13233.37216,0.003399626
-1.04999077,1,6616.686078,0.001699813
-1.04991031,1,6616.686078,0.001699813
-1.04987705,1,6616.686078,0.001699813
-1.04985142,2,13233.37216,0.003399626
-1.04982054,1,6616.686078,0.001699813
-1.04976106,2,13233.37216,0.003399626
-1.04963303,2,13233.37216,0.003399626
-1.0495764,1,6616.686078,0.001699813
-1.04957557,1,6616.686078,0.001699813
-1.04951322,1,6616.686078,0.001699813
-1.04947925,2,13233.37216,0.003399626
-1.04939091,2,13233.37216,0.003399626
-1.04935813,1,6616.686078,0.001699813
-1.04918933,2,13233.37216,0.003399626
-1.04911816,1,6616.686078,0.001699813
-1.04911518,2,13233.37216,0.003399626
-1.04911065,1,6616.686078,0.001699813
-1.04906523,2,13233.37216,0.003399626
-1.04901552,1,6616.686078,0.001699813
-1.0489881,2,13233.37216,0.003399626
-1.0489825,1,6616.686078,0.001699813
-1.0489589,2,13233.37216,0.003399626
-1.04895222,1,6616.686078,0.001699813
-1.04887462,2,13233.37216,0.003399626
-1.04877281,1,6616.686078,0.001699813
-1.04866457,1,6616.686078,0.001699813
-1.04865515,2,13233.37216,0.003399626
-1.04857242,2,13233.37216,0.003399626
-1.0485307,1,6616.686078,0.001699813
-1.04852247,1,6616.686078,0.001699813
-1.04844069,1,6616.686078,0.001699813
-1.04839957,1,6616.686078,0.001699813
-1.04822814,2,13233.37216,0.003399626
-1.04798388,1,6616.686078,0.001699813
-1.04796827,2,13233.37216,0.003399626
-1.04791391,2,13233.37216,0.003399626
-1.04783297,1,6616.686078,0.001699813
-1.04778576,2,13233.37216,0.003399626
-1.04759502,2,13233.37216,0.003399626
-1.04759157,1,6616.686078,0.001699813
-1.04755986,2,13233.37216,0.003399626
-1.04750133,1,6616.686078,0.001699813
-1.04743862,1,6616.686078,0.001699813
-1.04739428,1,6616.686078,0.001699813
-1.0473187,1,6616.686078,0.001699813
-1.04730463,1,6616.686078,0.001699813
-1.04729712,2,13233.37216,0.003399626
-1.04713607,1,6616.686078,0.001699813
-1.04704499,1,6616.686078,0.001699813
-1.04701972,1,6616.686078,0.001699813
-1.04698682,1,6616.686078,0.001699813
-1.04696763,1,6616.686078,0.001699813
-1.0469532,1,6616.686078,0.001699813
-1.04683328,1,6616.686078,0.001699813
-1.04682124,1,6616.686078,0.001699813
-1.04678917,1,6616.686078,0.001699813
-1.04666555,1,6616.686078,0.001699813
-1.04666495,1,6616.686078,0.001699813
-1.04660773,2,13233.37216,0.003399626
-1.04660714,1,6616.686078,0.001699813
-1.04659736,1,6616.686078,0.001699813
-1.04654205,1,6616.686078,0.001699813
-1.04653811,2,13233.37216,0.003399626
-1.04633713,1,6616.686078,0.001699813
-1.04631042,1,6616.686078,0.001699813
-1.04628491,1,6616.686078,0.001699813
-1.04627752,1,6616.686078,0.001699813
-1.04619205,2,13233.37216,0.003399626
-1.04615474,1,6616.686078,0.001699813
-1.0460273,2,13233.37216,0.003399626
-1.0458287,2,13233.37216,0.003399626
-1.04578114,2,13233.37216,0.003399626
-1.04573357,2,13233.37216,0.003399626
-1.04573298,1,6616.686078,0.001699813
-1.04572248,2,13233.37216,0.003399626
-1.04568636,2,13233.37216,0.003399626
-1.04562926,1,6616.686078,0.001699813
-1.04548872,1,6616.686078,0.001699813
-1.04548299,2,13233.37216,0.003399626
-1.04531348,1,6616.686078,0.001699813
-1.04530764,1,6616.686078,0.001699813
-1.04525304,2,13233.37216,0.003399626
-1.04521286,1,6616.686078,0.001699813
-1.04521012,2,13233.37216,0.003399626
-1.04518926,1,6616.686078,0.001699813
-1.04493952,1,6616.686078,0.001699813
-1.04491401,1,6616.686078,0.001699813
-1.04437721,2,13233.37216,0.003399626
-1.0443691,2,13233.37216,0.003399626
-1.04431427,2,13233.37216,0.003399626
-1.04427779,1,6616.686078,0.001699813
-1.04402626,2,13233.37216,0.003399626
-1.04394341,1,6616.686078,0.001699813
-1.04345357,1,6616.686078,0.001699813
-1.04345345,2,13233.37216,0.003399626
-1.04338324,1,6616.686078,0.001699813
-1.04336393,2,13233.37216,0.003399626
-1.04332578,2,13233.37216,0.003399626
-1.04325581,2,13233.37216,0.003399626
-1.04289484,1,6616.686078,0.001699813
-1.04246068,2,13233.37216,0.003399626
-1.04240453,1,6616.686078,0.001699813
-1.04222345,1,6616.686078,0.001699813
-1.04212809,2,13233.37216,0.003399626
-1.04195929,2,13233.37216,0.003399626
-1.0419507,1,6616.686078,0.001699813
-1.04184806,1,6616.686078,0.001699813
-1.04183567,1,6616.686078,0.001699813
-1.04178596,1,6616.686078,0.001699813
-1.04161084,1,6616.686078,0.001699813
-1.04148829,1,6616.686078,0.001699813
-1.04144204,1,6616.686078,0.001699813
-1.04111898,2,13233.37216,0.003399626
-1.04105353,2,13233.37216,0.003399626
-1.04080498,2,13233.37216,0.003399626
-1.04061174,1,6616.686078,0.001699813
-1.04059422,1,6616.686078,0.001699813
-1.04057848,1,6616.686078,0.001699813
-1.04055572,2,13233.37216,0.003399626
-1.04027736,2,13233.37216,0.003399626
-1.04024529,2,13233.37216,0.003399626
-1.04008174,2,13233.37216,0.003399626
-1.03999794,1,6616.686078,0.001699813
-1.03992856,2,13233.37216,0.003399626
-1.03990543,2,13233.37216,0.003399626
-1.03971684,2,13233.37216,0.003399626
-1.0397141,1,6616.686078,0.001699813
-1.03954327,1,6616.686078,0.001699813
-1.03937614,2,13233.37216,0.003399626
-1.03935635,1,6616.686078,0.001699813
